RP,Condition1H2L,Participant,TonicPeriodPost,StartTimePost,EndTimePost,TonicSCLPost,ParticipantPost,TonicSCLPre,TonicPeriodPost,EndTimePost,StartTimePost,Participant,TonicSCLPost,TonicSCLPre,tonicDiff
2,2,02_EDA Analysis_2_11 PM.xlsx,370.062,123.592,493.654,0.710843,,,,,,02_EDA Analysis_2_11 PM.xlsx,0.710843,,
3,1,03_EDA Analysis_2_15 PM.xlsx,239.870758,115.61,429.204,1.494367,,,,,,03_EDA Analysis_2_15 PM.xlsx,1.494367,,
4,2,04_EDA Analysis_2_17 PM.xlsx,103.428,196.834,300.262,0.718327,,,,,,04_EDA Analysis_2_17 PM.xlsx,0.718327,,
5,1,05_EDA Analysis_2_18 PM.xlsx,325.978,140.508,466.486,0.713118,,,,,,05_EDA Analysis_2_18 PM.xlsx,0.713118,,
6,1,06_EDA Analysis_2_18 PM.xlsx,221.059754,316.734,635.142,11.970571,,,,,,06_EDA Analysis_2_18 PM.xlsx,11.970571,,
8,2,08_EDA Analysis_2_21 PM.xlsx,313.782,193.228,507.01,0.714271,,,,,,08_EDA Analysis_2_21 PM.xlsx,0.714271,,
9,2,09_EDA Analysis_2_02 PM.xlsx,233.734134,186.21,526.712,8.26151,09_EDA_stats_1_31 PM.txt,8.789883,35.376000,171.200000,111.2,09_EDA Analysis_2_02 PM.xlsx,8.26151,8.789883,-0.528373
11,1,11_EDA Analysis_2_25 PM.xlsx,224.553521,341.42,663.52,3.083021,11_EDA_stats_1_32 PM.txt,3.419786,51.074000,326.400000,266.4,11_EDA Analysis_2_25 PM.xlsx,3.083021,3.419786,-0.336765
12,2,12_EDA Analysis_2_33 PM.xlsx,182.417224,180.754,515.648,5.424075,12_EDA_stats_1_32 PM.txt,5.190312,26.916000,165.800000,105.8,12_EDA Analysis_2_33 PM.xlsx,5.424075,5.190312,0.233763
13,1,13_EDA Analysis_2_34 PM.xlsx,197.535209,181.562,511.446,3.680898,13_EDA_stats_1_33 PM.txt,3.523368,25.626000,166.600000,106.6,13_EDA Analysis_2_34 PM.xlsx,3.680898,3.523368,0.15753
14,2,14_EDA Analysis_2_35 PM.xlsx,26.182,145.016,171.198,0.712298,14_EDA_stats_1_33 PM.txt,0.712772,60.000000,130.000000,70,14_EDA Analysis_2_35 PM.xlsx,0.712298,0.712772,-0.000474
16,2,16_EDA Analysis_2_37 PM.xlsx,170.608962,136.736,451.766,6.057498,16_EDA_stats_1_34 PM.txt,5.575306,44.190000,121.700000,61.7,16_EDA Analysis_2_37 PM.xlsx,6.057498,5.575306,0.482192
17,1,17_EDA Analysis_2_39 PM.xlsx,168.334552,136.736,451.766,9.035125,17_EDA_stats_1_34 PM.txt,8.110992,31.372000,121.700000,61.7,17_EDA Analysis_2_39 PM.xlsx,9.035125,8.110992,0.924133
18,2,18_EDA Analysis_2_39 PM.xlsx,306.576,2.236,308.812,11.92718,,,,,,18_EDA Analysis_2_39 PM.xlsx,11.92718,,11.92718
19,1,19_EDA Analysis_2_40 PM.xlsx,300.156,208.062,508.218,0.712769,19_EDA_stats_1_34 PM.txt,0.713238,60.000000,193.000000,133,19_EDA Analysis_2_40 PM.xlsx,0.712769,0.713238,-0.000469
20,2,20_EDA Analysis_2_41 PM.xlsx,301.626,168.176,469.802,0.7108,20_EDA_stats_1_35 PM.txt,0.710939,60.000000,153.100000,93.1,20_EDA Analysis_2_41 PM.xlsx,0.7108,0.710939,-0.000139
21,1,21_EDA Analysis_2_42 PM.xlsx,4.872,280.676,285.548,0.712284,21_EDA_stats_1_36 PM.txt,0.712482,60,265.600000,205.6,21_EDA Analysis_2_42 PM.xlsx,0.712284,0.712482,-0.000198
23,1,23_EDA Analysis_2_42 PM.xlsx,178.554343,241.938,545.94,11.659542,23_EDA_stats_1_36 PM.txt,11.444338,30.302000,226.900000,166.9,23_EDA Analysis_2_42 PM.xlsx,11.659542,11.444338,0.215204
24,2,24_EDA Analysis_2_43 PM.xlsx,273.417381,208.054,513.726,0.783453,24_EDA_stats_1_38 PM.txt,0.710976,60.000000,193.000000,133,24_EDA Analysis_2_43 PM.xlsx,0.783453,0.710976,0.072477
